Title,Genre,Production
WALLÂ·E,Animation| Adventure| Family| Sci-Fi,Walt Disney Pictures
Finding Nemo,Animation| Adventure| Comedy| Family,Walt Disney Pictures
Despicable Me,Animation| Comedy| Family| Fantasy,Universal Pictures
Ice Age,Animation| Adventure| Comedy| Family| Fantasy,20th Century Fox
Zootopia,Animation| Adventure| Comedy| Crime| Family| Mystery,Walt Disney Animation Studios
Kung Fu Panda,Animation| Action| Adventure| Comedy| Family,Paramount Pictures
Big Hero 6,Animation| Action| Adventure| Family| Sci-Fi,Walt Disney Pictures
Despicable Me 2,Animation| Adventure| Comedy| Family| Fantasy| Sci-Fi,Universal Pictures
Wreck-It Ralph,Animation| Adventure| Comedy| Family| Fantasy,Walt Disney Pictures
Madagascar,Animation| Adventure| Comedy| Family,Dreamworks
Coco,Animation| Adventure| Family| Fantasy| Music| Mystery,Disney/Pixar
Rango,Animation| Adventure| Comedy| Family| Western,Paramount Pictures
Finding Dory,Animation| Adventure| Comedy| Family,Walt Disney Pictures/PIXAR
Megamind,Animation| Action| Comedy| Family| Sci-Fi,Paramount Studios/DWA
Hotel Transylvania,Animation| Comedy| Family| Fantasy| Horror,Sony Pictures
The Croods,Animation| Action| Adventure| Comedy| Family| Fantasy,20th Century Fox
Puss in Boots,Animation| Action| Adventure| Comedy| Family| Fantasy,Paramount/Dreamworks
9,Animation| Action| Adventure| Sci-Fi,Focus Features
Robots,Animation| Adventure| Comedy| Family| Sci-Fi,20th Century Fox
Kubo and the Two Strings,Animation| Action| Adventure| Family| Fantasy,Focus Features
The Boss Baby,Animation| Adventure| Comedy| Family| Fantasy,DreamWorks Animation